countycode,county,_tcount,_tvote
1,Alameda,873903,663500
2,Alpine,722,602
3,Amador,22216,18672
4,Butte,129150,97511
5,Calaveras,29138,23561
6,Colusa,8687,6799
7,Contra Costa,613663,464340
8,Del Norte,13580,9382
9,El Dorado,117096,96389
10,Fresno,438064,287412
11,Glenn,12890,11320
12,Humboldt,80108,59511
13,Imperial,72257,45214
14,Inyo,10009,8197
15,Kern,368263,248381
16,Kings,52447,34382
17,Lake,34900,24885
18,Lassen,14010,10646
19,Los Angeles,5240000,3442892
20,Madera,57793,43650
21,Marin,159870,141128
22,Mariposa,11065,9125
23,Mendocino,51024,38436
24,Merced,91472,70961
25,Modoc,5162,3830
26,Mono,9448,8177
27,Monterey,185906,136771
28,Napa,76130,62159
29,Nevada,67493,55485
30,Orange,1546573,1193147
31,Placer,225479,187971
32,Plumas,11816,9989
33,Riverside,1025414,745682
34,Sacramento,774938,572144
35,San Benito,28194,22335
36,San Bernardino,912653,661838
37,San Diego,1678006,1346931
38,San Francisco,513900,410165
39,San Joaquin,330232,226772
40,San Luis Obispo,168435,139143
41,San Mateo,392992,310008
42,Santa Barbara,212466,180030
43,Santa Clara,868409,706342
44,Santa Cruz,157678,128916
45,Shasta,98987,81359
46,Sierra,2234,1873
47,Siskiyou,27440,20728
48,Solano,229406,167949
49,Sonoma,271877,235791
50,Stanislaus,242525,174498
51,Sutter,45637,34074
52,Tehama,32284,24180
53,Trinity,7928,5858
54,Tulare,156501,113083
55,Tuolumne,31268,25638
56,Ventura,445975,358003
57,Yolo,102234,74697
58,Yuba,32949,23158
