countycode,_f_aip_00_count,_f_aip_00_vote,_f_aip_18_count,_f_aip_18_vote,_f_aip_30_count,_f_aip_30_vote,_f_aip_40_count,_f_aip_40_vote,_f_aip_50_count,_f_aip_50_vote,_f_aip_60_count,_f_aip_60_vote,_f_aip_70_count,_f_aip_70_vote,_f_aip_80_count,_f_aip_80_vote,_f_dem_00_count,_f_dem_00_vote,_f_dem_18_count,_f_dem_18_vote,_f_dem_30_count,_f_dem_30_vote,_f_dem_40_count,_f_dem_40_vote,_f_dem_50_count,_f_dem_50_vote,_f_dem_60_count,_f_dem_60_vote,_f_dem_70_count,_f_dem_70_vote,_f_dem_80_count,_f_dem_80_vote,_f_grn_00_count,_f_grn_00_vote,_f_grn_18_count,_f_grn_18_vote,_f_grn_30_count,_f_grn_30_vote,_f_grn_40_count,_f_grn_40_vote,_f_grn_50_count,_f_grn_50_vote,_f_grn_60_count,_f_grn_60_vote,_f_grn_70_count,_f_grn_70_vote,_f_grn_80_count,_f_grn_80_vote,_f_lib_00_count,_f_lib_00_vote,_f_lib_18_count,_f_lib_18_vote,_f_lib_30_count,_f_lib_30_vote,_f_lib_40_count,_f_lib_40_vote,_f_lib_50_count,_f_lib_50_vote,_f_lib_60_count,_f_lib_60_vote,_f_lib_70_count,_f_lib_70_vote,_f_lib_80_count,_f_lib_80_vote,_f_npb_00_count,_f_npb_00_vote,_f_npb_18_count,_f_npb_18_vote,_f_npb_30_count,_f_npb_30_vote,_f_npb_40_count,_f_npb_40_vote,_f_npb_50_count,_f_npb_50_vote,_f_npb_60_count,_f_npb_60_vote,_f_npb_70_count,_f_npb_70_vote,_f_npb_80_count,_f_npb_80_vote,_f_npp_00_count,_f_npp_00_vote,_f_npp_18_count,_f_npp_18_vote,_f_npp_30_count,_f_npp_30_vote,_f_npp_40_count,_f_npp_40_vote,_f_npp_50_count,_f_npp_50_vote,_f_npp_60_count,_f_npp_60_vote,_f_npp_70_count,_f_npp_70_vote,_f_npp_80_count,_f_npp_80_vote,_f_pfp_00_count,_f_pfp_00_vote,_f_pfp_18_count,_f_pfp_18_vote,_f_pfp_30_count,_f_pfp_30_vote,_f_pfp_40_count,_f_pfp_40_vote,_f_pfp_50_count,_f_pfp_50_vote,_f_pfp_60_count,_f_pfp_60_vote,_f_pfp_70_count,_f_pfp_70_vote,_f_pfp_80_count,_f_pfp_80_vote,_f_rep_00_count,_f_rep_00_vote,_f_rep_18_count,_f_rep_18_vote,_f_rep_30_count,_f_rep_30_vote,_f_rep_40_count,_f_rep_40_vote,_f_rep_50_count,_f_rep_50_vote,_f_rep_60_count,_f_rep_60_vote,_f_rep_70_count,_f_rep_70_vote,_f_rep_80_count,_f_rep_80_vote,_m_aip_00_count,_m_aip_00_vote,_m_aip_18_count,_m_aip_18_vote,_m_aip_30_count,_m_aip_30_vote,_m_aip_40_count,_m_aip_40_vote,_m_aip_50_count,_m_aip_50_vote,_m_aip_60_count,_m_aip_60_vote,_m_aip_70_count,_m_aip_70_vote,_m_aip_80_count,_m_aip_80_vote,_m_dem_00_count,_m_dem_00_vote,_m_dem_18_count,_m_dem_18_vote,_m_dem_30_count,_m_dem_30_vote,_m_dem_40_count,_m_dem_40_vote,_m_dem_50_count,_m_dem_50_vote,_m_dem_60_count,_m_dem_60_vote,_m_dem_70_count,_m_dem_70_vote,_m_dem_80_count,_m_dem_80_vote,_m_grn_00_count,_m_grn_00_vote,_m_grn_18_count,_m_grn_18_vote,_m_grn_30_count,_m_grn_30_vote,_m_grn_40_count,_m_grn_40_vote,_m_grn_50_count,_m_grn_50_vote,_m_grn_60_count,_m_grn_60_vote,_m_grn_70_count,_m_grn_70_vote,_m_grn_80_count,_m_grn_80_vote,_m_lib_00_count,_m_lib_00_vote,_m_lib_18_count,_m_lib_18_vote,_m_lib_30_count,_m_lib_30_vote,_m_lib_40_count,_m_lib_40_vote,_m_lib_50_count,_m_lib_50_vote,_m_lib_60_count,_m_lib_60_vote,_m_lib_70_count,_m_lib_70_vote,_m_lib_80_count,_m_lib_80_vote,_m_npb_00_count,_m_npb_00_vote,_m_npb_18_count,_m_npb_18_vote,_m_npb_30_count,_m_npb_30_vote,_m_npb_40_count,_m_npb_40_vote,_m_npb_50_count,_m_npb_50_vote,_m_npb_60_count,_m_npb_60_vote,_m_npb_70_count,_m_npb_70_vote,_m_npb_80_count,_m_npb_80_vote,_m_npp_00_count,_m_npp_00_vote,_m_npp_18_count,_m_npp_18_vote,_m_npp_30_count,_m_npp_30_vote,_m_npp_40_count,_m_npp_40_vote,_m_npp_50_count,_m_npp_50_vote,_m_npp_60_count,_m_npp_60_vote,_m_npp_70_count,_m_npp_70_vote,_m_npp_80_count,_m_npp_80_vote,_m_pfp_00_count,_m_pfp_00_vote,_m_pfp_18_count,_m_pfp_18_vote,_m_pfp_30_count,_m_pfp_30_vote,_m_pfp_40_count,_m_pfp_40_vote,_m_pfp_50_count,_m_pfp_50_vote,_m_pfp_60_count,_m_pfp_60_vote,_m_pfp_70_count,_m_pfp_70_vote,_m_pfp_80_count,_m_pfp_80_vote,_m_rep_00_count,_m_rep_00_vote,_m_rep_18_count,_m_rep_18_vote,_m_rep_30_count,_m_rep_30_vote,_m_rep_40_count,_m_rep_40_vote,_m_rep_50_count,_m_rep_50_vote,_m_rep_60_count,_m_rep_60_vote,_m_rep_70_count,_m_rep_70_vote,_m_rep_80_count,_m_rep_80_vote,_n_aip_00_count,_n_aip_00_vote,_n_aip_18_count,_n_aip_18_vote,_n_aip_30_count,_n_aip_30_vote,_n_aip_40_count,_n_aip_40_vote,_n_aip_50_count,_n_aip_50_vote,_n_aip_60_count,_n_aip_60_vote,_n_aip_70_count,_n_aip_70_vote,_n_aip_80_count,_n_aip_80_vote,_n_dem_00_count,_n_dem_00_vote,_n_dem_18_count,_n_dem_18_vote,_n_dem_30_count,_n_dem_30_vote,_n_dem_40_count,_n_dem_40_vote,_n_dem_50_count,_n_dem_50_vote,_n_dem_60_count,_n_dem_60_vote,_n_dem_70_count,_n_dem_70_vote,_n_dem_80_count,_n_dem_80_vote,_n_grn_00_count,_n_grn_00_vote,_n_grn_18_count,_n_grn_18_vote,_n_grn_30_count,_n_grn_30_vote,_n_grn_40_count,_n_grn_40_vote,_n_grn_50_count,_n_grn_50_vote,_n_grn_60_count,_n_grn_60_vote,_n_grn_70_count,_n_grn_70_vote,_n_grn_80_count,_n_grn_80_vote,_n_lib_00_count,_n_lib_00_vote,_n_lib_18_count,_n_lib_18_vote,_n_lib_30_count,_n_lib_30_vote,_n_lib_40_count,_n_lib_40_vote,_n_lib_50_count,_n_lib_50_vote,_n_lib_60_count,_n_lib_60_vote,_n_lib_70_count,_n_lib_70_vote,_n_lib_80_count,_n_lib_80_vote,_n_npb_18_count,_n_npb_18_vote,_n_npb_30_count,_n_npb_30_vote,_n_npb_40_count,_n_npb_40_vote,_n_npb_50_count,_n_npb_50_vote,_n_npb_60_count,_n_npb_60_vote,_n_npb_70_count,_n_npb_70_vote,_n_npb_80_count,_n_npb_80_vote,_n_npp_00_count,_n_npp_00_vote,_n_npp_18_count,_n_npp_18_vote,_n_npp_30_count,_n_npp_30_vote,_n_npp_40_count,_n_npp_40_vote,_n_npp_50_count,_n_npp_50_vote,_n_npp_60_count,_n_npp_60_vote,_n_npp_70_count,_n_npp_70_vote,_n_npp_80_count,_n_npp_80_vote,_n_pfp_00_count,_n_pfp_00_vote,_n_pfp_18_count,_n_pfp_18_vote,_n_pfp_30_count,_n_pfp_30_vote,_n_pfp_40_count,_n_pfp_40_vote,_n_pfp_50_count,_n_pfp_50_vote,_n_pfp_60_count,_n_pfp_60_vote,_n_pfp_70_count,_n_pfp_70_vote,_n_pfp_80_count,_n_pfp_80_vote,_n_rep_00_count,_n_rep_00_vote,_n_rep_18_count,_n_rep_18_vote,_n_rep_30_count,_n_rep_30_vote,_n_rep_40_count,_n_rep_40_vote,_n_rep_50_count,_n_rep_50_vote,_n_rep_60_count,_n_rep_60_vote,_n_rep_70_count,_n_rep_70_vote,_n_rep_80_count,_n_rep_80_vote
1,7546,5397,1904,1183,1430,1000,1253,904,1348,1027,890,726,456,359,265,198,276258,226987,53836,38953,49942,40396,44810,37880,46863,40256,43199,38224,22920,20274,14688,11004,3010,2313,493,319,741,514,673,539,524,440,387,330,144,131,48,40,1521,1048,530,322,383,271,243,163,203,162,102,85,42,34,18,11,438704,344421,85754,57471,79500,60872,73459,59508,77075,63902,65295,55965,34897,30060,22724,16643,99733,69094,23244,13323,21420,14891,18947,14191,16741,12491,11461,8670,5075,3780,2845,1748,1221,667,401,188,330,173,200,125,142,80,89,62,39,28,20,11,46827,37110,4807,2887,4769,3303,6900,5399,10775,9068,8776,7563,6049,5320,4751,3570,8740,5891,2184,1190,1822,1177,1531,1089,1581,1175,940,732,453,362,229,166,203636,157917,39761,26135,35751,26688,33563,26773,36017,29305,32360,27567,17142,14712,9042,6737,3922,2874,640,378,862,590,895,670,737,576,512,436,234,193,42,31,2944,2178,857,521,704,520,528,424,449,367,266,233,107,88,33,25,389477,289391,76271,45797,69398,49009,66790,51418,72184,57286,58527,48543,30349,25542,15958,11796,110236,74571,25366,13453,23054,15311,21346,15694,19009,14074,13142,10000,5707,4375,2612,1664,1207,628,338,137,267,118,202,104,177,98,137,102,63,52,23,17,55304,42932,6504,3658,6192,4126,8065,6191,13592,11233,10665,9070,6432,5586,3854,3068,17066,11749,4381,2519,3411,2274,2921,2087,3016,2257,1889,1501,941,741,507,370,503245,401178,102024,70278,90424,70557,81996,67328,85262,71337,77572,67374,41327,35969,24640,18335,7139,5309,1214,736,1643,1129,1611,1238,1291,1037,905,771,383,327,92,71,4663,3343,1492,895,1133,827,797,602,661,534,377,324,152,125,51,36,176965,111464,158038,116073,148520,116854,154584,124917,127757,107351,67711,57362,40328,29479,227382,153986,53684,29111,48048,32397,44081,32534,38030,28064,25996,19548,11604,8651,5939,3681,2613,1370,819,355,645,310,423,240,335,185,235,167,111,83,45,30,105413,82180,12089,6903,11431,7732,15549,12007,24849,20643,19864,16943,12794,11148,8837,6804
2,12,7,4,2,2,0,0,0,1,1,3,2,2,2,0,0,142,126,9,5,11,11,12,10,25,20,48,44,25,25,12,11,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,330,278,24,14,31,22,36,30,65,55,105,92,45,43,24,22,80,57,9,5,13,7,15,11,16,13,23,17,2,2,2,2,2,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,90,82,2,2,5,4,9,9,22,20,29,27,15,13,8,7,14,10,0,0,0,0,2,1,4,2,6,5,1,1,1,1,116,104,8,5,4,1,14,13,29,28,38,35,18,17,5,5,6,5,0,0,1,0,1,1,0,0,3,3,1,1,0,0,4,3,0,0,0,0,0,0,1,1,3,2,0,0,0,0,369,309,25,14,28,14,50,42,81,71,114,101,52,48,19,19,99,71,7,2,15,8,19,15,22,17,28,21,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,114,9,6,8,5,14,12,24,22,36,35,25,22,12,12,26,17,4,2,2,0,2,1,5,3,9,7,3,3,1,1,272,240,21,11,17,14,27,24,59,52,88,81,43,42,17,16,8,7,0,0,1,0,1,1,0,0,4,4,1,1,1,1,5,4,0,0,0,0,0,0,1,1,3,2,1,1,0,0,56,30,63,39,87,73,154,132,221,195,98,92,43,41,184,130,18,8,29,15,34,26,40,31,51,38,9,9,3,3,2,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,222,199,12,8,14,10,23,21,47,43,65,62,41,36,20,19
3,403,292,65,37,52,30,56,40,95,68,86,73,34,30,15,14,3678,3211,231,137,223,158,306,257,641,564,1135,1053,767,718,375,324,54,38,8,4,14,10,10,8,11,6,8,7,3,3,0,0,80,65,17,11,26,20,8,7,18,17,7,6,4,4,0,0,10653,9020,1024,618,1008,736,1170,967,2053,1756,2750,2530,1784,1680,864,733,1832,1328,342,180,292,193,242,180,364,272,391,329,156,144,45,30,35,22,9,5,8,5,4,2,8,6,5,4,1,0,0,0,4554,4053,347,242,392,319,541,472,913,820,1114,1054,818,781,429,365,454,366,72,42,56,42,60,46,82,72,114,97,51,50,19,17,2519,2138,169,103,199,134,190,144,367,310,744,675,573,535,277,237,59,46,4,1,6,3,13,10,20,18,11,9,3,3,2,2,178,147,28,20,37,27,32,29,31,27,33,29,13,12,4,3,10093,8493,1025,612,1067,774,1158,939,1812,1549,2535,2312,1743,1644,753,663,1881,1374,303,137,286,188,256,179,362,276,422,369,197,180,55,45,20,10,6,0,2,1,5,2,4,4,1,1,2,2,0,0,4963,4395,438,305,480,378,601,528,944,840,1204,1127,901,859,395,358,923,703,162,93,119,80,123,91,185,145,211,179,88,83,35,32,6652,5725,462,272,469,332,533,427,1085,942,1978,1819,1436,1339,689,594,120,86,15,6,21,13,24,18,33,25,19,16,6,6,2,2,275,227,52,36,64,48,42,38,52,47,44,39,17,16,4,3,2344,1394,2253,1643,2496,2029,4130,3527,5563,5097,3730,3509,1700,1473,4013,2900,737,358,621,409,537,382,775,583,865,746,370,339,108,83,64,35,17,5,12,6,10,4,13,11,9,7,3,2,0,0,10130,8966,888,618,945,753,1222,1066,1982,1769,2426,2281,1806,1721,861,758
4,1971,1313,466,255,323,210,258,156,359,249,334,252,152,131,79,60,23996,19455,4906,3463,3094,2335,2668,2152,3618,2995,5162,4618,2726,2458,1822,1434,477,344,97,62,129,73,73,57,71,57,79,70,22,20,6,5,475,328,167,102,129,88,50,33,52,41,57,47,15,14,5,3,61632,47710,11765,7208,8677,6014,7503,5698,10140,8176,11972,10550,6962,6308,4613,3756,12890,7864,3806,1794,2686,1547,1814,1167,1913,1276,1637,1268,721,589,313,223,233,98,79,29,52,16,35,16,28,11,32,19,5,5,2,2,21004,17892,2148,1453,2166,1683,2526,2069,4003,3479,4553,4176,3259,3036,2349,1996,2260,1486,558,286,363,192,343,232,374,272,369,296,176,143,77,65,17560,13610,3726,2277,2336,1651,2091,1598,2500,1985,3780,3353,2026,1848,1101,898,572,380,108,59,154,86,101,71,89,65,85,72,29,25,6,2,814,572,269,154,188,123,114,88,99,76,96,86,34,32,14,13,58047,43335,11569,6324,8792,5688,7623,5623,9492,7517,11076,9713,6273,5716,3222,2754,13895,8330,4130,1833,2904,1605,1981,1277,1957,1296,1896,1471,761,638,266,210,217,89,68,28,51,15,32,10,26,10,32,20,6,4,2,2,22054,18375,2622,1651,2690,1949,2882,2291,4332,3720,4674,4299,3154,2948,1700,1517,4591,3029,1159,614,751,443,651,417,777,551,744,583,341,285,168,136,44973,35566,9812,6491,6020,4404,5170,4058,6543,5300,9357,8332,5011,4539,3060,2442,1132,770,234,133,306,172,188,137,164,124,174,150,54,47,12,7,1388,972,488,293,336,224,178,131,155,120,160,140,51,48,20,16,26463,15236,19144,12804,16364,12190,20860,16631,24178,21218,13909,12613,8232,6819,29410,17576,9041,4071,6129,3451,4142,2653,4149,2757,3753,2894,1576,1292,620,458,494,199,162,60,109,31,75,26,63,26,70,43,11,9,4,4,45796,38419,5356,3474,5272,3941,5791,4657,8783,7578,9646,8851,6699,6246,4249,3672
5,560,436,63,43,66,48,85,56,115,91,142,122,63,55,26,21,4625,3902,372,239,368,276,369,270,800,680,1436,1320,857,778,423,339,80,56,11,8,22,15,16,11,16,11,10,8,4,3,1,0,133,101,28,21,19,11,21,16,33,24,22,20,8,7,2,2,13611,11154,1367,837,1440,1032,1564,1178,2652,2249,3489,3132,2123,1937,976,789,2641,1883,440,221,485,323,386,261,539,423,519,431,202,174,70,50,49,23,17,7,10,3,7,2,6,4,8,7,0,0,1,0,5439,4696,425,294,460,352,669,554,1126,1003,1333,1211,978,910,448,372,665,497,80,41,79,45,100,69,139,119,162,134,76,66,29,23,3329,2749,251,161,289,187,260,189,546,433,992,891,702,646,289,242,95,69,9,4,31,16,13,11,16,14,18,16,7,7,1,1,258,193,46,28,47,31,39,32,55,44,41,32,25,21,5,5,13696,11027,1487,874,1589,1031,1511,1124,2676,2212,3323,2967,2271,2092,839,727,2863,2025,494,244,479,282,380,273,506,372,610,509,333,291,61,54,31,22,8,4,6,5,6,4,4,3,6,5,1,1,0,0,6323,5386,577,381,634,453,697,540,1378,1204,1472,1360,1115,1049,450,399,1312,987,174,98,161,104,195,134,272,223,311,262,142,122,57,44,8466,7067,698,447,724,513,684,502,1443,1194,2535,2309,1624,1484,758,618,188,133,23,13,58,33,30,23,33,26,30,26,12,11,2,1,415,313,81,55,70,45,64,52,94,71,66,55,33,28,7,7,3240,1927,3301,2245,3304,2480,5649,4712,7132,6388,4597,4213,1915,1596,5938,4192,1061,526,1052,658,823,578,1105,838,1190,992,569,491,138,109,88,48,26,11,17,8,14,6,14,9,15,13,1,1,1,0,12499,10665,1140,758,1182,866,1466,1170,2636,2314,2942,2696,2190,2052,943,809
6,103,67,29,18,21,15,11,6,15,6,17,14,7,7,3,1,1550,1273,300,224,217,166,193,160,246,202,296,267,177,154,121,100,14,11,5,3,0,0,1,0,3,3,5,5,0,0,0,0,27,20,13,8,6,5,4,4,3,2,1,1,0,0,0,0,4238,3406,824,550,649,476,586,476,733,614,739,671,438,389,269,230,920,609,293,154,217,142,140,100,134,108,88,70,36,27,12,8,9,7,4,2,2,2,1,1,1,1,1,1,0,0,0,0,1614,1418,180,141,186,146,235,204,331,292,331,313,218,201,133,121,129,86,34,18,17,11,20,14,32,23,15,13,6,4,5,3,1195,903,232,148,141,97,125,99,211,160,270,233,135,109,81,57,8,7,3,2,1,1,1,1,2,2,0,0,1,1,0,0,35,30,9,9,10,7,5,5,6,5,5,4,0,0,0,0,3964,3013,741,410,539,374,536,416,726,587,783,693,428,375,211,158,857,518,266,106,156,96,140,93,105,76,113,89,61,49,16,9,10,6,3,1,3,2,1,0,2,2,0,0,0,0,1,1,1726,1462,192,126,210,160,243,203,368,319,380,354,225,212,108,88,246,162,65,37,44,31,32,20,49,31,33,27,15,12,8,4,2871,2276,554,386,375,275,333,270,479,382,593,522,327,277,210,164,22,18,8,5,1,1,2,1,5,5,5,5,1,1,0,0,62,50,22,17,16,12,9,9,9,7,6,5,0,0,0,0,1687,1043,1264,908,1179,937,1533,1265,1599,1429,916,807,509,410,1886,1198,599,282,394,251,294,201,253,197,210,167,103,80,33,20,21,15,8,4,5,4,2,1,4,4,1,1,0,0,1,1,3574,3078,429,312,428,334,505,433,734,639,751,702,470,437,257,221
7,6816,4897,1700,964,1111,763,1085,800,1340,1067,858,693,452,398,270,212,159177,128725,25457,16352,22933,17423,25036,20680,30093,25662,29557,26308,16431,14667,9670,7633,1216,894,281,163,230,151,229,173,229,194,171,149,61,53,15,11,1198,856,400,234,277,203,188,144,175,143,111,94,35,30,12,8,287151,224193,47766,28215,41950,30361,46449,37079,55755,46455,48876,42787,28607,25364,17748,13932,60598,41553,14341,7325,11978,7961,11583,8542,10574,8089,7186,5802,3347,2714,1589,1120,693,363,268,108,139,70,119,72,84,56,48,31,26,20,9,6,57066,46631,5276,3051,5237,3760,8153,6637,13160,11165,10861,9641,8215,7447,6164,4930,7733,5300,1851,938,1321,843,1352,981,1537,1173,958,779,487,409,227,177,117053,89927,19715,11056,16272,11394,18370,14371,22846,18731,22205,19153,11787,10404,5858,4818,1597,1161,309,150,330,226,343,268,292,244,202,173,98,82,23,18,2494,1775,699,374,590,428,438,342,406,323,240,202,92,83,29,23,262606,196315,45574,23685,37573,25347,42886,32844,53434,43299,45339,38656,25139,22085,12661,10399,66726,44522,15649,7177,12377,7813,12420,9002,12047,9139,8805,7034,3963,3270,1465,1087,597,283,214,75,130,60,88,41,74,41,63,43,24,21,4,2,65824,52940,7063,3882,6462,4531,9771,7766,16124,13566,12750,11177,8626,7764,5028,4254,16042,11151,4039,2136,2676,1753,2701,1972,3113,2419,1960,1584,1017,867,536,420,308440,241891,52329,31360,45020,32903,49572,39799,58191,48568,55976,48886,30605,27027,16747,13348,3107,2238,674,347,625,417,638,488,556,468,399,344,171,140,44,34,3995,2813,1219,673,945,674,680,522,606,483,366,307,135,121,44,33,107515,59027,90553,62952,101967,79330,120122,98134,102218,87669,58376,51096,32912,26132,147248,98340,34778,16568,27983,17945,28408,20663,26028,19625,18125,14318,8394,6727,3532,2494,1503,733,563,206,312,148,236,130,192,112,125,82,60,46,15,9,132276,106445,13779,7677,12841,9023,19558,15643,31220,26293,25049,21973,17887,16077,11942,9759
8,281,175,55,21,43,20,36,29,64,45,46,31,31,25,6,4,2405,1798,243,139,282,180,264,186,419,313,630,536,360,304,207,140,52,34,11,4,19,13,5,5,5,2,6,5,5,4,1,1,41,30,11,8,8,4,6,5,7,4,7,7,2,2,0,0,6649,4688,855,396,971,569,812,557,1323,978,1455,1201,788,661,445,326,1493,799,329,106,320,158,209,103,287,182,233,167,80,59,35,24,34,14,7,2,7,2,8,3,7,3,3,2,2,2,0,0,2288,1805,190,112,283,190,276,220,526,425,522,446,299,258,192,154,309,200,42,20,48,21,49,32,66,44,67,54,28,22,9,7,1643,1199,174,92,169,108,162,100,308,213,446,380,258,215,126,91,48,22,9,3,13,3,8,3,7,4,8,7,3,2,0,0,89,59,13,7,19,8,19,14,15,12,15,12,7,5,1,1,5982,4137,806,362,847,460,750,485,1163,840,1333,1100,739,622,344,268,1473,794,330,118,321,134,204,107,251,157,234,181,96,73,37,24,29,11,6,1,9,2,3,2,3,2,4,1,2,2,2,1,2317,1809,225,119,261,182,289,219,502,400,539,453,333,292,168,144,633,396,114,45,97,44,91,64,135,92,119,90,60,48,17,13,4356,3192,486,258,495,314,456,306,783,563,1137,965,647,541,352,245,108,60,20,7,35,18,14,8,12,6,18,14,8,6,1,1,138,92,28,16,27,12,27,20,24,17,22,19,9,7,1,1,1919,855,1989,1120,1678,1111,2630,1914,2933,2412,1600,1344,831,626,3212,1698,751,252,699,319,452,225,564,354,491,363,181,136,74,49,72,30,19,6,17,5,11,5,10,5,8,3,5,5,2,1,4919,3835,481,265,598,402,603,469,1082,865,1107,938,669,583,379,313
9,2227,1696,397,229,311,214,370,289,489,397,402,345,172,151,86,71,19899,17124,2285,1593,2023,1590,2508,2166,4115,3664,4983,4594,2629,2426,1356,1091,326,241,53,31,88,63,66,49,53,40,45,40,16,15,5,3,561,422,180,112,123,91,80,70,91,75,62,53,18,16,7,5,59141,49294,7263,4623,7100,5300,8697,7207,13119,11397,12589,11484,6838,6356,3535,2927,11796,8601,2130,1135,2169,1451,2085,1566,2492,1953,1861,1596,739,649,320,251,161,71,59,19,35,12,21,9,18,10,22,16,5,4,1,1,23735,20796,2106,1475,2295,1836,3499,3003,5759,5176,5115,4755,3220,3061,1741,1490,2262,1674,385,206,356,227,346,257,471,380,426,368,185,158,93,78,13599,11332,1630,1022,1406,1013,1623,1322,2508,2144,3637,3287,1902,1769,893,775,373,240,62,25,96,45,83,65,61,44,50,43,18,15,3,3,922,689,251,147,214,154,181,149,132,110,103,90,35,33,6,6,55251,45086,7254,4261,6524,4560,8053,6517,11865,10153,12002,10849,6619,6153,2934,2593,12407,9073,2323,1166,2049,1316,2137,1611,2443,1961,2170,1888,987,879,298,252,120,67,32,13,28,11,20,16,20,10,14,12,4,3,2,2,25023,21577,2504,1652,2304,1738,3568,3025,6109,5402,5489,5061,3440,3250,1609,1449,4618,3465,840,474,695,463,736,561,974,787,834,719,359,311,180,150,34342,29106,4243,2838,3587,2726,4256,3594,6731,5901,8701,7950,4556,4215,2268,1882,711,487,124,60,185,108,151,116,114,84,95,83,34,30,8,6,1544,1155,464,280,354,257,264,222,226,188,169,147,54,50,13,11,15559,9543,14149,10259,17152,14054,25348,21847,24807,22527,13558,12593,6523,5566,25062,18253,4782,2486,4390,2885,4368,3294,5055,3999,4083,3529,1758,1551,626,509,291,142,97,35,66,24,42,25,38,20,36,28,9,7,3,3,49517,42983,4876,3304,4743,3695,7167,6110,11984,10682,10670,9881,6701,6349,3376,2962
10,5106,3304,1544,829,964,588,734,470,788,571,633,509,279,224,164,113,88846,62999,18354,11246,15138,9533,12404,8672,14294,10761,14366,11952,8031,6647,6259,4188,593,374,207,112,143,81,96,71,68,49,57,44,12,10,10,7,975,637,379,225,245,163,143,94,123,88,67,58,13,7,5,2,208359,142111,46299,24733,37748,22143,30120,20582,33976,25764,30458,25365,17261,14630,12497,8894,38942,20987,15076,6569,8834,4742,5581,3315,4533,2914,3002,2132,1240,890,676,425,641,279,314,110,148,73,78,37,50,27,42,28,7,4,2,0,71569,52478,10007,5429,11938,6770,10837,7782,13838,11158,12082,10483,7549,6741,5318,4115,5632,3540,1730,844,1069,609,861,570,847,617,669,536,324,268,132,96,66599,42948,14440,7281,11427,6131,9154,5837,10751,7521,10807,8520,6123,5012,3897,2646,725,429,195,93,215,108,127,82,73,52,84,70,28,22,3,2,1608,1111,584,337,429,312,234,174,161,127,145,118,46,35,9,8,186342,120564,42322,19519,34316,18553,27601,18238,30690,22537,27630,22527,15084,12835,8699,6355,37441,19294,13895,5087,8133,4145,5552,3336,4540,2879,3331,2413,1386,1041,604,393,557,202,268,60,98,44,71,42,48,20,54,28,14,5,4,3,71422,51618,10680,5589,12416,6933,11254,7982,13904,11067,12199,10578,7003,6318,3966,3151,11857,7488,3719,1890,2265,1334,1756,1134,1754,1261,1387,1107,649,532,327,230,172670,116403,37584,20992,30008,17503,24031,16084,27359,19849,27247,22023,15390,12579,11051,7373,1448,860,454,221,393,200,235,159,155,113,153,123,42,34,16,10,2821,1889,1087,628,735,513,401,284,299,225,220,183,65,46,14,10,101665,50095,81154,45315,63961,42684,70488,52194,62672,51236,35144,29538,22980,16350,87840,45607,33655,13285,19448,10085,12712,7545,10260,6481,7186,5081,3091,2211,1488,919,1379,553,668,199,294,137,169,89,111,52,108,62,21,9,8,5,155467,111884,23402,12392,27013,15022,23976,16989,29822,23713,25769,22201,15565,13871,9920,7696
