CountyCode,DEM,REP,GRN,LIB
10,Fresno,0.5484,0.4516,0.0,0.0
11,Glenn,0.0,1.0,0.0,0.0
12,Humboldt,0.75,0.25,0.0,0.0
13,Imperial,0.6667,0.3333,0.0,0.0
15,Kern,0.4091,0.5455,0.0,0.0455
16,Kings,0.25,0.75,0.0,0.0
17,Lake,1.0,0.0,0.0,0.0
18,Lassen,0.0,1.0,0.0,0.0
19,Los Angeles,0.7696,0.2168,0.0027,0.0108
20,Madera,0.0,1.0,0.0,0.0
21,Marin,0.9,0.1,0.0,0.0
23,Mendocino,0.6667,0.3333,0.0,0.0
24,Merced,0.6667,0.3333,0.0,0.0
26,Mono,0.0,1.0,0.0,0.0
27,Monterey,0.9,0.1,0.0,0.0
28,Napa,0.625,0.375,0.0,0.0
29,Nevada,0.5,0.5,0.0,0.0
30,Orange,0.487,0.4957,0.0,0.0174
31,Placer,0.2143,0.7857,0.0,0.0
32,Plumas,0.0,1.0,0.0,0.0
33,Riverside,0.3973,0.5616,0.0137,0.0274
34,Sacramento,0.6222,0.3556,0.0222,0.0
35,San Benito,1.0,0.0,0.0,0.0
36,San Bernardino,0.4462,0.5385,0.0154,0.0
37,San Diego,0.5217,0.4348,0.0261,0.0174
38,San Francisco,0.871,0.129,0.0,0.0
39,San Joaquin,0.5,0.5,0.0,0.0
40,San Luis Obispo,0.6667,0.3333,0.0,0.0
41,San Mateo,0.75,0.2143,0.0357,0.0
42,Santa Barbara,0.6667,0.3333,0.0,0.0
43,Santa Clara,0.6122,0.3469,0.0,0.0408
44,Santa Cruz,0.8182,0.1818,0.0,0.0
45,Shasta,0.3333,0.6667,0.0,0.0
47,Siskiyou,1.0,0.0,0.0,0.0
48,Solano,0.6,0.4,0.0,0.0
49,Sonoma,0.7419,0.2258,0.0,0.0323
50,Stanislaus,0.4667,0.5333,0.0,0.0
51,Sutter,0.25,0.75,0.0,0.0
52,Tehama,1.0,0.0,0.0,0.0
53,Trinity,0.0,1.0,0.0,0.0
54,Tulare,0.5,0.5,0.0,0.0
56,Ventura,0.5455,0.3939,0.0303,0.0303
